id,year,team1,score1,score2,team2,Play Off Game?,Home Odds,Draw Odds,Away Odds,Bookmakers Surveyed,Date,Kick-off (local)
152,2015,Central Coast Mariners,3,2,Perth Glory,N,2.57,3.24,2.75,16,10-Oct-15,17:15
153,2015,Adelaide Utd,0,0,Melbourne Victory,N,2.72,3.51,2.44,16,09-Oct-15,19:10
154,2015,Western Sydney,1,3,Brisbane Roar,N,2.18,3.38,3.26,16,08-Oct-15,20:00
155,2015,Melbourne Victory,3,0,Sydney FC,Y,2.12,3.41,3.33,17,16-May-15,16:00
156,2015,Sydney FC,4,1,Adelaide Utd,Y,2.21,3.38,3.16,17,09-May-15,19:30
157,2015,Melbourne Victory,3,0,Melbourne City,Y,1.92,3.55,3.8,17,08-May-15,19:30
158,2015,Wellington Phoenix,0,2,Melbourne City,Y,2.09,3.42,3.4,17,03-May-15,19:00
159,2015,Adelaide Utd,2,1,Brisbane Roar,Y,1.87,3.59,3.99,17,01-May-15,19:30
160,2015,Melbourne Victory,3,1,Central Coast Mariners,N,1.37,4.96,7.47,17,26-Apr-15,17:00
161,2015,Wellington Phoenix,1,2,Sydney FC,N,2.33,3.56,2.82,17,26-Apr-15,17:00
162,2015,Adelaide Utd,4,1,Melbourne City,N,1.97,3.57,3.57,17,25-Apr-15,19:00
163,2015,Western Sydney,1,2,Perth Glory,N,2.3,3.42,2.95,17,25-Apr-15,17:00
164,2015,Brisbane Roar,2,1,Newcastle Jets,N,1.93,3.78,3.5,17,24-Apr-15,19:40
165,2015,Perth Glory,3,1,Melbourne City,N,2.72,3.42,2.46,17,19-Apr-15,13:00
166,2015,Brisbane Roar,0,1,Melbourne Victory,N,3.92,3.75,1.83,17,18-Apr-15,19:30
167,2015,Western Sydney,2,1,Adelaide Utd,N,3.51,3.49,2.03,17,18-Apr-15,17:00
168,2015,Newcastle Jets,3,4,Sydney FC,N,6.21,4.41,1.47,17,17-Apr-15,19:45
169,2015,Wellington Phoenix,3,2,Central Coast Mariners,N,1.53,4.18,5.62,17,17-Apr-15,19:30
170,2015,Brisbane Roar,1,2,Melbourne Victory,N,2.69,3.47,2.46,17,15-Apr-15,19:40
171,2015,Melbourne City,0,0,Wellington Phoenix,N,1.94,3.66,3.6,17,12-Apr-15,17:00
172,2015,Central Coast Mariners,1,0,Western Sydney,N,2.62,3.32,2.6,17,11-Apr-15,19:30
173,2015,Adelaide Utd,2,3,Brisbane Roar,N,1.63,3.93,4.98,17,11-Apr-15,16:30
174,2015,Perth Glory,0,3,Sydney FC,N,2.94,3.47,2.29,17,10-Apr-15,19:45
175,2015,Melbourne Victory,0,1,Newcastle Jets,N,1.23,6.18,10.79,17,10-Apr-15,19:40
176,2015,Newcastle Jets,0,2,Perth Glory,N,3.88,3.54,1.89,16,06-Apr-15,17:00
177,2015,Wellington Phoenix,0,3,Melbourne Victory,N,2.49,3.44,2.64,16,05-Apr-15,19:00
178,2015,Sydney FC,0,1,Adelaide Utd,N,2.3,3.41,2.93,16,04-Apr-15,19:30
179,2015,Western Sydney,1,1,Melbourne City,N,2.92,3.38,2.33,16,03-Apr-15,19:40
180,2015,Brisbane Roar,6,1,Central Coast Mariners,N,1.87,3.56,3.95,16,02-Apr-15,19:00
181,2015,Newcastle Jets,0,1,Adelaide Utd,N,5.33,4.01,1.59,17,29-Mar-15,17:00
182,2015,Wellington Phoenix,0,3,Sydney FC,N,2.22,3.48,3.01,16,29-Mar-15,17:00
183,2015,Perth Glory,3,2,Western Sydney,N,1.71,3.83,4.57,17,28-Mar-15,18:30
184,2015,Melbourne City,1,0,Brisbane Roar,N,1.75,3.76,4.41,17,28-Mar-15,19:30
185,2015,Melbourne Victory,2,1,Central Coast Mariners,N,1.5,4.35,5.87,17,27-Mar-15,19:40
186,2015,Brisbane Roar,1,4,Western Sydney,N,1.82,3.58,4.25,17,25-Mar-15,19:00
187,2015,Brisbane Roar,1,2,Wellington Phoenix,N,2.07,3.48,3.33,17,22-Mar-15,16:00
188,2015,Central Coast Mariners,1,1,Perth Glory,N,2.76,3.27,2.51,17,22-Mar-15,15:00
189,2015,Adelaide Utd,2,2,Melbourne Victory,N,1.97,3.58,3.58,17,21-Mar-15,19:00
190,2015,Western Sydney,1,2,Newcastle Jets,N,1.9,3.49,3.98,17,21-Mar-15,17:00
191,2015,Sydney FC,0,1,Melbourne City,N,1.84,3.73,3.95,17,20-Mar-15,19:40
192,2015,Sydney FC,5,4,Brisbane Roar,N,1.95,3.5,3.74,17,15-Mar-15,17:00
193,2015,Perth Glory,1,2,Wellington Phoenix,N,1.93,3.56,3.71,17,14-Mar-15,18:30
194,2015,Melbourne City,4,0,Newcastle Jets,N,1.4,4.68,7.11,17,14-Mar-15,19:30
195,2015,Western Sydney,0,3,Melbourne Victory,N,3.85,3.63,1.89,17,13-Mar-15,19:40
196,2015,Adelaide Utd,2,1,Central Coast Mariners,N,1.4,4.66,7.34,17,12-Mar-15,19:00
197,2015,Western Sydney,3,2,Melbourne City,N,2.73,3.2,2.52,17,11-Mar-15,19:30
198,2015,Brisbane Roar,1,0,Western Sydney,N,1.81,3.53,4.31,16,08-Mar-15,16:00
199,2015,Central Coast Mariners,1,0,Melbourne City,N,3.14,3.37,2.21,17,08-Mar-15,15:00
200,2015,Melbourne Victory,1,1,Perth Glory,N,1.75,3.71,4.41,17,07-Mar-15,19:30
201,2015,Wellington Phoenix,2,0,Adelaide Utd,N,2.83,3.46,2.35,17,07-Mar-15,17:00
202,2015,Newcastle Jets,0,1,Sydney FC,N,4.59,3.83,1.7,17,06-Mar-15,19:40
203,2015,Melbourne Victory,2,3,Wellington Phoenix,N,1.68,3.94,4.6,17,01-Mar-15,17:00
204,2015,Perth Glory,2,2,Brisbane Roar,N,2.05,3.35,3.58,17,28-Feb-15,21:30
205,2015,Western Sydney,3,4,Sydney FC,N,3.09,3.4,2.23,17,28-Feb-15,19:30
206,2015,Newcastle Jets,0,0,Central Coast Mariners,N,2.91,3.33,2.36,17,28-Feb-15,17:00
207,2015,Melbourne City,3,1,Adelaide Utd,N,2.72,3.38,2.48,17,27-Feb-15,19:40
208,2015,Melbourne City,0,0,Perth Glory,N,2.12,3.37,3.31,17,22-Feb-15,17:00
209,2015,Wellington Phoenix,2,2,Newcastle Jets,N,1.41,4.62,7.01,17,22-Feb-15,17:00
210,2015,Adelaide Utd,2,1,Western Sydney,N,1.49,4.21,6.19,17,21-Feb-15,19:00
211,2015,Sydney FC,4,2,Central Coast Mariners,N,1.54,4.03,5.7,17,21-Feb-15,17:00
212,2015,Adelaide Utd,1,1,Perth Glory,N,1.73,3.72,4.5,17,15-Feb-15,16:30
213,2015,Sydney FC,3,3,Melbourne Victory,N,2.61,3.41,2.53,17,14-Feb-15,19:30
214,2015,Newcastle Jets,1,1,Western Sydney,N,3.46,3.47,2.03,17,14-Feb-15,17:00
215,2015,Wellington Phoenix,0,0,Melbourne City,N,1.97,3.58,3.53,17,14-Feb-15,17:00
216,2015,Central Coast Mariners,0,2,Brisbane Roar,N,2.7,3.22,2.56,17,13-Feb-15,19:40
217,2015,Western Sydney,2,0,Wellington Phoenix,N,2.53,3.29,2.68,17,08-Feb-15,17:00
218,2015,Perth Glory,1,3,Sydney FC,N,1.92,3.48,3.8,17,07-Feb-15,18:30
219,2015,Melbourne Victory,3,0,Melbourne City,N,2.02,3.54,3.41,17,07-Feb-15,19:30
220,2015,Central Coast Mariners,2,1,Adelaide Utd,N,4.13,3.53,1.83,17,07-Feb-15,17:00
221,2015,Newcastle Jets,1,2,Brisbane Roar,N,4.45,3.7,1.74,16,06-Feb-15,19:40
222,2015,Brisbane Roar,3,2,Wellington Phoenix,N,2.3,3.39,2.93,17,02-Feb-15,20:00
223,2015,Melbourne City,2,1,Western Sydney,N,1.92,3.45,3.84,17,01-Feb-15,17:00
224,2015,Perth Glory,3,3,Melbourne Victory,N,2.13,3.38,3.26,17,25-Jan-15,20:00
225,2015,Central Coast Mariners,1,5,Sydney FC,N,2.67,3.16,2.63,17,24-Jan-15,19:30
226,2015,Adelaide Utd,7,0,Newcastle Jets,N,1.41,4.36,7.49,17,24-Jan-15,17:00
227,2015,Western Sydney,1,2,Melbourne Victory,N,2.83,3.38,2.38,16,06-Jan-15,19:30
228,2015,Perth Glory,1,2,Adelaide Utd,N,2.23,3.29,3.12,16,05-Jan-15,17:30
229,2015,Central Coast Mariners,2,0,Melbourne City,N,3.07,3.3,2.26,16,04-Jan-15,17:00
230,2015,Wellington Phoenix,3,0,Brisbane Roar,N,2.08,3.36,3.42,16,04-Jan-15,17:00
231,2015,Sydney FC,0,0,Newcastle Jets,N,1.76,3.61,4.46,16,03-Jan-15,19:30
232,2015,Melbourne Victory,1,2,Perth Glory,N,2.05,3.39,3.46,16,02-Jan-15,19:40
233,2015,Western Sydney,0,0,Central Coast Mariners,N,2,3.3,3.75,16,01-Jan-15,19:30
234,2014,Adelaide Utd,1,3,Wellington Phoenix,N,1.75,3.68,4.58,16,31-Dec-14,19:00
235,2014,Brisbane Roar,0,0,Sydney FC,N,2.1,3.32,3.43,16,30-Dec-14,19:00
236,2014,Newcastle Jets,2,5,Melbourne City,N,3.03,3.28,2.3,16,30-Dec-14,17:00
237,2014,Wellington Phoenix,1,0,Western Sydney,N,1.9,3.43,3.97,17,28-Dec-14,19:00
238,2014,Melbourne Victory,1,0,Newcastle Jets,N,1.42,4.56,6.82,17,27-Dec-14,19:30
239,2014,Central Coast Mariners,3,3,Brisbane Roar,N,2.7,3.14,2.62,17,27-Dec-14,17:00
240,2014,Sydney FC,0,3,Adelaide Utd,N,2.72,3.35,2.47,17,26-Dec-14,19:45
241,2014,Melbourne City,1,1,Perth Glory,N,2.51,3.31,2.7,17,26-Dec-14,17:30
242,2014,Sydney FC,0,2,Wellington Phoenix,N,1.94,3.53,3.7,17,21-Dec-14,17:00
243,2014,Perth Glory,4,1,Central Coast Mariners,N,1.51,3.93,6.47,17,20-Dec-14,18:30
244,2014,Melbourne City,1,0,Melbourne Victory,N,3.22,3.44,2.13,17,20-Dec-14,19:30
245,2014,Newcastle Jets,2,1,Adelaide Utd,N,4.61,3.67,1.73,17,19-Dec-14,19:40
246,2014,Melbourne Victory,3,3,Sydney FC,N,1.76,3.64,4.39,17,13-Dec-14,19:30
247,2014,Wellington Phoenix,1,1,Central Coast Mariners,N,1.72,3.7,4.54,17,13-Dec-14,17:00
248,2014,Perth Glory,2,0,Newcastle Jets,N,1.39,4.48,7.65,17,12-Dec-14,18:45
249,2014,Adelaide Utd,0,1,Brisbane Roar,N,1.59,3.87,5.41,17,12-Dec-14,19:10
250,2014,Melbourne City,1,0,Brisbane Roar,N,2.32,3.45,2.86,17,07-Dec-14,17:00
251,2014,Adelaide Utd,2,0,Western Sydney,N,1.68,3.63,5.06,17,06-Dec-14,19:00
252,2014,Newcastle Jets,1,3,Wellington Phoenix,N,2.56,3.32,2.64,17,06-Dec-14,17:00
253,2014,Central Coast Mariners,0,3,Melbourne Victory,N,3.92,3.48,1.89,17,05-Dec-14,19:40
254,2014,Sydney FC,1,2,Perth Glory,N,2.2,3.33,3.22,17,04-Dec-14,19:30
255,2014,Western Sydney,0,1,Brisbane Roar,N,1.91,3.39,3.91,17,03-Dec-14,19:30
