number,trade_name,address,council,date_of_offence,offence_code,nature,penalty,party_served,date_served,issuer
3120777148,SYDNEY HUMSAL INTERNATIONAL,645 CANTERBURY ROAD BELMORE 2192,Canterbury-Bankstown,21-06-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,$440 ,"HUSSAIN, SHEIKH SAFDAR",19-07-16,NSW Food Authority
3120777157,SYDNEY HUMSAL INTERNATIONAL,645 CANTERBURY ROAD BELMORE 2192,Canterbury-Bankstown,21-06-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to not permit live animals in an area where food is being handled,$440 ,"HUSSAIN, SHEIKH SAFDAR",19-07-16,NSW Food Authority
3108246580,SYDNEY MARINA,126 PENDLE WAY PENDLE HILL 2145,Holroyd,20-04-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination,$880 ,SYDNEY MARINA PTY LTD,--,Holroyd City Council
3108246599,SYDNEY MARINA,126 PENDLE WAY PENDLE HILL 2145,Holroyd,20-04-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness,$880 ,SYDNEY MARINA PTY LTD,--,Holroyd City Council
3161223093,SYDNEY MEATS,"SHOP 41, 34 VICTORIA ROAD MARRICKVILLE 2204",Inner West,18-11-16,11373 - Not comply with requirements of food safety scheme - Corporation,Fail to comply with the requirements of a food safety scheme - previous warnings given,"$1,320 ",SYDNEY MEATS RETAIL PTY LTD,30-11-16,NSW Food Authority
3120775772,T & T BEST MEAT,14/28 AMY STREET CAMPSIE 2184,Canterbury,08-02-16,11341 - Sell food that fails to comply with the Food Standards Code - Corporation,Sale of food found to contain illegal preservative (sulphur dioxide) - lamb backstrap,$880 ,TROUNG AND LIN PTY LTD,12-04-16,NSW Food Authority
3120775781,T & T BEST MEAT,14/28 AMY STREET CAMPSIE 2184,Canterbury,08-02-16,11341 - Sell food that fails to comply with the Food Standards Code - Corporation,Sale of food found to contain preservative (sulphur dioxide) that exceeds permitted level - thin sausages,$880 ,TROUNG AND LIN PTY LTD,12-04-16,NSW Food Authority
3120775790,T & T BEST MEAT,14/28 AMY STREET CAMPSIE 2184,Canterbury,08-02-16,11341 - Sell food that fails to comply with the Food Standards Code - Corporation,Sale of food found to contain preservative (sulphur dioxide) that exceeds permitted level - continental sausages,$880 ,TROUNG AND LIN PTY LTD,12-04-16,NSW Food Authority
3072000883,TAI PAK CHINESE RESTAURANT,UNIT10/141 WALDRON ROAD CHESTER HILL 2162,Bankstown,11-05-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,$440 ,"LI, NIANHUA",24-05-16,Bankstown City Council
3107783398,TAIBAAN BAKERY,SHOP 103/4-16 TERMINUS STREET CASTLE HILL 2154,The Hills,23-03-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain easily accessible hand washing facilities on the food premises - previous warning given,$880 ,INVISION CORP PTY LTD,20-04-16,The Hills Shire Council
3106042583,TAMARIN RESTAURANT,2/118-124 LEURA MALL LEURA 2780,Blue Mountains,12-05-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain at or near each hand washing facility a supply of - single use towel,$880 ,RITHI PTY LTD,29-06-16,Blue Mountains City Council
3120777120,TAN DIEU HUNG BUTCHERY,"SHOP 22, 47 PARK ROAD CABRAMATTA 2166",Fairfield,30-05-16,11015 - Handle/sell food so as to contravene the food safety scheme - Individual,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",$660 ,"TROUNG, MY PHUONG",19-07-16,NSW Food Authority
3120777139,TAN DIEU HUNG BUTCHERY,"SHOP 22, 47 PARK ROAD CABRAMATTA 2166",Fairfield,30-05-16,11372 - Not comply with requirements of food safety scheme - Individual,Fail to maintain food safety program and monitoring of records,$660 ,"TRUONG, MY PHUONG",19-07-16,NSW Food Authority
3131612689,TAN PHAT ASIAN GROCERIES,40 CANLEY VALE ROAD CANLEY VALE 2166,Fairfield,09-06-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to display potentially hazardous food under temperature control - previous warning given,$440 ,"HOANG, TIEN TRUNG",16-06-16,Fairfield City Council
3131612698,TAN PHAT ASIAN GROCERIES,40 CANLEY VALE ROAD CANLEY VALE 2166,Fairfield,09-06-16,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain at or near each hand washing facility a supply of - warm water, previous warning given",$440 ,"HOANG, TIEN TRUNG",16-06-16,Fairfield City Council
3072000728,TANDOORI COTTAGE,43 PADSTOW PARADE PADSTOW 2211,Bankstown,06-04-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to store food in such a way that it is protected from the likelihood of contamination - previous warning given,$880 ,TS SHELLY PTY LTD,27-04-16,Bankstown City Council
7250535014,TANDOORI TAJ,105 -111 MACLEAY STREET POTTS POINT 2011,Sydney,14-07-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,$880 ,SAJID AND SADI ENTERPRISE PTY LTD,18-07-16,City of Sydney Council
7250535023,TANDOORI TAJ,105 - 111 MACLEAY STREET POTTS POINT 2011,Sydney,14-07-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warning given",$880 ,SAJID AND SADI ENTERPRISE PTY LTD,18-07-16,City of Sydney Council
7250535032,TANDOORI TAJ,105 - 111 MACLEAY STREET POTTS POINT 2011,Sydney,14-07-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to take all practicable measures to eradicate and prevent the harbourage of pests - presence of pests, previous warning given",$880 ,SAJID AND SADI ENTERPRISE PTY LTD,18-07-16,City of Sydney Council
3123940390,TANPOPO DINE IN & TAKE AWAY,SHOP 3 / 81-91 MILITARY ROAD NEUTRAL BAY 2089,North Sydney,10-05-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to maintain the food premises to the required standard of cleanliness - previous warnings given,$880 ,KM AND E PTY LTD,05-07-16,North Sydney City Council
3123940409,TANPOPO DINE IN & TAKE AWAY,SHOP 3 / 81-91 MILITARY ROAD NEUTRAL BAY 2089,North Sydney,10-05-16,11339 - Fail to comply with Food Standards Code - Corporation,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness - previous warnings given",$880 ,KM AND E PTY LTD,05-07-16,North Sydney City Council
7250538470,TAPEO,82 REDFERN STREET REDFERN 2016,Sydney,14-07-16,11338 - Fail to comply with Food Standards Code - Individual,"Fail to maintain all fixtures, fittings and equipment to the required standard of cleanliness",$440 ,"STRANEY, GAVIN",19-07-16,City of Sydney Council
7250538489,TAPEO,82 REDFERN STREET REDFERN 2016,Sydney,14-07-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness,$440 ,"STRANEY, GAVIN",19-07-16,City of Sydney Council
7250541605,TASTE OF BEIJING,SHOP 19 / 7-19 HUNTER STREET SYDNEY 2000,Sydney,30-06-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to maintain the food premises to the required standard of cleanliness - previous warning given,$440 ,"HONG QING, LU",01-07-16,City of Sydney Council
7250541614,TASTE OF BEIJING,SHOP 19 / 7-19 HUNTER STREET SYDNEY 2000,Sydney,30-06-16,11338 - Fail to comply with Food Standards Code - Individual,Fail to store potentially hazardous food under temperature control - previous warning given,$440 ,"HONG QING, LU",01-07-16,City of Sydney Council
3107524952,TASTE TETRAHEDRON,333 LIVERPOOL ROAD ASHFIELD 2131,Ashfield,07-04-16,11339 - Fail to comply with Food Standards Code - Corporation,Fail to take all practicable measures to ensure it only accepts potentially hazardous food that is at the correct temperature,$880 ,TASTE TETRAHEDRON PTY LTD,08-04-16,Ashfield Council
